Title,ID,Posted Date,Office 1,From,Area,Procurement,Name of Contractor,To,Date of Contract,Amount
NIM/ NGO Audit of the Provincial Capacity Building Project,IC/001/2012,20/06/2012,UNDP Country Office ,Papua New Guinea,Consultants,RFP - Request for Proposal,McNiell Young & Kiddie,Papua New Guinea,12/04/2012,9800.0
Procurement of Stationery Polling Kits for Libya Elections,GP500010-1 under LTA,19/06/2012,UNDP/PSO/GPU ,Libya,Other,RFQ - Request for Quotation,COPENHAGEN ELECTIONS A/S,Denmark,23/04/2012,937688.0
Procurement of Voting Booths for Libya Elections,GP500011-1 under LTA,19/06/2012,UNDP/PSO/GPU ,Libya,Other,RFQ - Request for Quotation,CODE INCORPORATED,Canada,23/04/2012,336686.0
Procurement of Indelible Ink for Libya Elections,GP500012-1 under LTA,19/06/2012,UNDP/PSO/GPU ,Libya,Other,RFQ - Request for Quotation,CODE INCORPORATED,Canada,23/04/2012,416890.0
Procurement of Ballot boxes for Libya Elections,GP500013-1 under LTA,19/06/2012,UNDP/PSO/GPU ,Libya,Other,RFQ - Request for Quotation,CODE INCORPORATED,Canada,23/04/2012,483239.0
Procurement of Indelible Ink for Egypt Elections,GP500014-1 under LTA,19/06/2012,UNDP/PSO/GPU ,Egypt,Other,RFQ - Request for Quotation,CODE INCORPORATED,Canada,24/04/2012,1082552.0
Procurement of Indelible Ink for Egypt Elections,GP500014-3 under LTA,19/06/2012,UNDP/PSO/GPU ,Egypt,Other,RFQ - Request for Quotation,LITHOTECH EXPORTS,South Africa,23/04/2012,2859325.0
Procurement of Ballot Boxes for Pakistan Elections,GP500002-1 under LTA,19/06/2012,UNDP/PSO/GPU ,Pakistan,Other,RFQ - Request for Quotation,CODE INCORPORATED,Canada,09/05/2012,891221.0
Printing of Ballots for Libya,GP500009-1,18/06/2012,Procured by PSO on behalf of UNDP Libya ,Libya,Other,ITB - Invitation to Bid,Al-Ghurair,United Arab Emirates,12/06/2012,1355650.0
INDIVIDUAL CONSULTANT PROCUREMENT – International Capacity Development Consultant,RFP-ZIM-GF-010-2012,12/06/2012,UNDP ,Zimbabwe,Health,RFP - Request for Proposal,SARAH SPRINGETT,United Kingdom,28/05/2012,237244.0
Microbiology Laboratory Consumables,ITB-ZIM-GF-007-2012,12/06/2012,UNDP ,Zimbabwe,Health,ITB - Invitation to Bid,CTEQ,United Kingdom,28/05/2012,11775.0
Microbiology Laboratory Equipment,ITB-ZIM-GF-004-2012,12/06/2012,UNDP ,Zimbabwe,Health,ITB - Invitation to Bid,VARIOUS,Various,28/05/2012,0.0
Chemistry laboratory Equipment,ITB-ZIM-GF-003-2012,12/06/2012,UNDP ,Zimbabwe,Health,ITB - Invitation to Bid,Consoltech,Zimbabwe,28/05/2012,13096.0
Microbiology Laboratory Consumables,ITB-ZIM-GF-002-2012,12/06/2012,UNDP ,Zimbabwe,Health,ITB - Invitation to Bid,ZANS AFRICAN MEDICALS,South Africa,28/05/2012,35281.0
PROCUREMENT OF EQUIPMENTS & FURNITURE FOR NUEW CONFERENCE HALL AND DIGITAL LIBRARY,ITB No. UNDP/ERI/EQUIPMENT & FURNITURE/05/11,07/06/2012,UNDP Country Office ,Eritrea,Other,ITB - Invitation to Bid,N.T.E. LTD,United Kingdom,30/06/2012,107381.0
PROVISION OF ERGONOMIC CHAIRS,ASD/2012/13,04/06/2012,NEW YORK HEADQUARTERS ,United States Of America,Other,ITB - Invitation to Bid,HERMAN MILLER,United States Of America,01/06/2012,71706.0
LONG TERM AGREEMENT FOR THE PROVISION OF CASE GOOD,ASD/2012/12,04/06/2012,UNDP NEW YORK HEADQUARTERS ,United States Of America,Other,ITB - Invitation to Bid,ARENSON OFFICE FURNISHINGS,United States Of America,23/05/2012,854198.0
Procurement of helmets for the National Police in Liberia,,31/05/2012,UNDP PSO CPR Copenhague ,Liberia,Vehicles,ITB - Invitation to Bid,MATELCO INC,Liberia,10/05/2012,42541.0
"Turnkey supply, installation and training of wind measuring stations in Lesotho",GP321133-1,31/05/2012,UNDP PSO CPR Copenhague ,Lesotho,Other,ITB - Invitation to Bid,Emergent Energy (Pty) Ltd,South Africa,29/05/2012,216436.0
Provision of Messenger Services,ASD-2012-03,24/05/2012,UNDP New York Headquarters ,United States Of America,Other,RFP - Request for Proposal,A-1 International,United States Of America,23/04/2012,463078.0
Provision of Commercial Printing Services,ASD/2012/12,23/05/2012,NEW YORK HQ ,United States Of America,Other,RFP - Request for Proposal,COLORCRAFT OF VIRGINIA,United States Of America,15/05/2012,333333.0
Provision of Commercial Printing Services,ASD/2012/11,23/05/2012,NEW YORK HQ ,United States Of America,Other,RFP - Request for Proposal,CONSOLIDATED GRAPHICS,United States Of America,15/05/2012,333333.0
Provision of Commercial Printing Services,ASD/2012/10,23/05/2012,NEW YORK HQ ,United States Of America,Other,RFP - Request for Proposal,R. E. GILMORE CORP.,Canada,15/05/2012,333333.0
Provision of Commercial Printing Services,ASD/2012/09,23/05/2012,UNDP NEW YORK HQ ,United States Of America,Other,RFP - Request for Proposal,RR DONNELLEY,United States Of America,15/05/2012,333333.0
Provision of Commercial Printing Services,ASD/2012/08,23/05/2012,UNDP NEW YORK HQ ,United States Of America,Other,RFP - Request for Proposal,PHOENIX DESIGN AID,Denmark,15/05/2012,333333.0
Provision of Commercial Printing Services,ASD/2012/07,23/05/2012,New York HQ ,United States Of America,Other,RFP - Request for Proposal,LOWE-MARTIN COMPANY INC,Canada,15/05/2012,333333.0
Provision of Engineering Services,ASD/2012/06,23/05/2012,New York Headquarters ,United States Of America,Construction,RFP - Request for Proposal,DLB ASSOCIATES,United States Of America,16/04/2012,802500.0
Provision of Sustainability Services,ASD/2012/05,23/05/2012,New York Headquarters ,United States Of America,Other,RFP - Request for Proposal,CYCLE ARCHITECTURE PLLC,United States Of America,09/05/2012,97260.0
Provision of Audit Services,PS/PwC/11009,10/05/2012,UNDP Country office Sudan ,Sudan,Services,RFP - Request for Proposal,M/s PriceWaterCoopers ltd Kenya,Kenya,05/12/2011,212000.0
Purchase of Armored Vehicle for Yemen,,07/05/2012,UNDP PSO Copenhague ,Yemen,Vehicles,O - Other,APV - Armoured Project Vehicles,United Kingdom,,133591.0
"Turnkey supply, installation and trainig of solar measurement stations in Lesotho",,07/05/2012,UNDP PSO Copenhague ,Lesotho,Power,ITB - Invitation to Bid,Campbell Scientific,South Africa,13/04/2012,128285.0
Provision of Architectural Services,ASD-2012-004,03/05/2012,NEW YORK HEADQUARTERS ,United States Of America,Construction,RFP - Request for Proposal,MONTROY-ANDERSEN-DeMARCO,United States Of America,23/04/2012,1605000.0
Procurement of X-ray unit for Zimbabwe,GP406001,01/05/2012,UNDP PSO ,Denmark,Health,ITB - Invitation to Bid,Apelem DMS Group,France,21/02/2012,2324730.0
"Provision of professional services to conduct the Customization and Implementation of a Workflow Solution at the Ministry of Economy and Trade, Lebanon",12/43,20/04/2012,UNDP Country Office  ,Lebanon,Other,RFP - Request for Proposal,B. SYNCHRO SAL,Lebanon,20/04/2012,71978.0
"PROCUREMENT OF METEOROLOGICAL, HYDROLOGICAL & GEOPHYSICAL INSTRUMENTS",PO # ERI10-0000002767,19/04/2012,UNDP  COUNTRY OFFICE ,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,MIG INFORMATION SYSTEM,United Arab Emirates,11/04/2012,997363.0
Long Term Agreement for Provision of Workstations to UNDP NYHQ,ASD/2012/01,18/04/2012,UNDP New York HQ ,United States Of America,Other,ITB - Invitation to Bid,WORKWELL PARTNERS,United States Of America,02/02/2012,1438230.0
Individual Economic Reintegration Services for Sudan DDR Participants,DDRC018/12,13/04/2012,UNDP DDR ,Sudan,Other,RFP - Request for Proposal,JASMAR Human Security Organization,Sudan,22/03/2012,1391999.0
Individual Economic Reintegration Services for UNDP Sudan DDR,DDRC020/10,13/04/2012,UNDP Sudan/DDR ,Sudan,Livestock,RFP - Request for Proposal,Save the Children Sweden,Sweden,08/03/2011,3003118.0
"ITB - Civil Construction Works - Mannar, Sri Lanka",MAN/72832/03B - Lot 1,11/04/2012,UNDP Country Office ,Sri Lanka,Construction,ITB - Invitation to Bid,M/s. Zanu Construction Works,Sri Lanka,06/03/2012,107169.0
"ITB - Civil Construction Works - Mannar, Sri Lanka",MAN/72832/2I - Lot 2,11/04/2012,UNDP Country Office ,Sri Lanka,Construction,ITB - Invitation to Bid,M/s. Zanu Construction Works,Sri Lanka,21/03/2012,76194.0
Data Centre IT Equipment - Sierra Leone,GP329308-1,11/04/2012,PSO on behalf of Sierra Leone ,Sierra Leone,Other,RFQ - Request for Quotation,Advizing IT,Denmark,11/11/2011,264104.0
Renta de Edificio ONU,,05/04/2012,UNDP Country Office ,Ecuador,Other,O - Other,Inmobiliaria Santa Beatriz,Ecuador,01/01/2000,336000.0
Consultoría en competencias urbanas,2011/207,05/04/2012,UNDP Country Office ,Ecuador,Urban Dev’t.,RFP - Request for Proposal,SOAINT GESTION S.A.,Chile,25/11/2011,120000.0
Seguridad Edificio ONU,2012/0029,05/04/2012,UNDP Country Office ,Ecuador,Services,RFP - Request for Proposal,SEGURIDAD Y TURISMO SEGUTOURING CIA. LTDA.,Ecuador,15/02/2012,186213.0
Long Term Agreement for the provision of VSAT Services,OIST/LTA/2012/001,29/03/2012,Office of Information Systems & Technology ,United States Of America,It / Computers,RFP - Request for Proposal,VIZADA NETWORKS AS,Norway,27/03/2012,2.25E7
Procurement of VR forms for Electoral processes in Libya,GP500007-1,26/03/2012,UNDP Libya ,Libya,Other,DC - Direct Contracting,AERO VOTE Limited,United Kingdom,21/03/2012,263150.0
Procurement of VR Stationery Kits for Libya,GP500006-1,26/03/2012,UNDP Libya ,Libya,Other,RFQ - Request for Quotation,LITHOTECHEXPORTS,South Africa,21/03/2012,1203513.0
Procurement of Indelible Ink for Elections in Yemen,GP348389-1,26/03/2012,YEMEN ,Yemen,Other,RFQ - Request for Quotation,CODE INC,Canada,30/12/2011,1204097.0
Audit of NIM/NGO Projects Y2011 for UNDP Zimbabwe,PSC/ZWE/2012/001,26/03/2012,Harare ,Zimbabwe,Other,RFP - Request for Proposal,KPMG,Zimbabwe,01/03/2012,157020.0
Laboratory Equipment to Iraq,GP334962,13/03/2012,UNDP PSO ,Denmark,Health,O - Other,The Medical Export Group B.V.,The Netherlands,30/11/2011,175630.0
Laboratory Equipment to Uzbekistan,GP336105,13/03/2012,UNDP PSO ,Denmark,Health,O - Other,Amex Export - Import GMBH,Austria,04/10/2011,138272.0
Laboratory Equipment to Uzbekistan,GP329315,13/03/2012,UNDP PSO ,Denmark,Health,O - Other,Amex Export - Import GMBH,Austria,20/09/2011,112745.0
HIV Test Kits,GP333176-1,13/03/2012,UNDP PSO ,Denmark,Health,O - Other,MEG,The Netherlands,29/09/2011,452027.0
"LTA for the Supply of BGAN Terminals and Airtime services, worldwide to UNDP Country Offices",LTA 329439,13/03/2012,"UNDP PSO GPU, Copenhagen ",Denmark,Telecommunications,ITB - Invitation to Bid,Castell Satcom Radio Ltd.,United Kingdom,10/02/2012,252141.0
"ITB - Civil Construction Works - Construction of metal and tar road in Kithul, Batticaloa.",ITB/BAT/72832/07,12/03/2012,UNDP Country Office ,Sri Lanka,Construction,ITB - Invitation to Bid,M/s. Resources Development and Construction Company (Pvt) Ltd.,Sri Lanka,23/02/2012,117818.0
Procurement of Indelible Ink for Guinea Bissau,GP500000-1,23/02/2012,PSO Copenhagen on behalf of Guinea Bissau ,Guinea-bissau,Other,RFQ - Request for Quotation,Lithotech,South Africa,14/02/2012,117243.0
Procurement of Individual Consultancy Services to provide process support for the establishment of the peace building NGOs platform,12/09/2013,11/02/2012,UNDP Country Office ,Lebanon,Consultants,O - Other,Muzna Al-Masri,Lebanon,09/02/2012,15000.0
"Procurement of Civil Works to construct Structures for flood reduction, soil conservation and erosion control in Ras Baalback and Aarsal, North Bekaa, Lebanon",12/03/2013,02/02/2012,Lebanon,Lebanon,Construction,ITB - Invitation to Bid,Bureau Hamid Kairouz s.a.l.,Lebanon,26/01/2012,141691.0
PROCUREMENT OF  SOLAR PUMPS AND ACCESSORIES,PO No. ERI10-0000002691,24/01/2012,ERITREA,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,MG WORLD WIDE PVT. LTD.,India,20/09/2011,7400.0
PROCUREMENT OF  SOLAR PUMPS AND ACCESSORIES,PO No. ERI10-0000002696,24/01/2012,ERITREA,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,PHAESUN,Germany,26/09/2011,23625.0
PROCUREMENT OF  SOLAR PUMPS AND ACCESSORIES,PO No. ERI10-0000002700,24/01/2012,ERITREA,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,"SUNLABOB RENEWABLE ENERGY, LIMITED","Lao, P.D.R.",26/09/2011,134237.0
PROCUREMENT OF SOLAR PUMPS AND ACCESSORIES,PROJECT No. 00041360,24/01/2012,ERITREA,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,VERGNET HYDRO,France,09/08/2011,200409.0
Registration Kits (Stationery) - Sierra Leone,GP329306-1,19/01/2012,PSO on behalf of CO Sierra Leone,Sierra Leone,Other,RFQ - Request for Quotation,Copenhagen Election A/S,Denmark,25/11/2011,236470.0
Supply of Armoured Vehicles,GP337330-1,12/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,APV - Armoured Project Vehicles,United Kingdom,,191085.0
Supply of IT Equipment,GP335383-3,12/01/2012,"UNDP PSO CPR, Copenhague",Denmark,It / Computers,O - Other,Advizing IT,Denmark,20/09/2011,116612.0
Supply of Vehicles,GPC331398,12/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,TGS - Toyota Gibraltar Stockholdings LTD,United Kingdom,26/07/2011,262492.0
Supply of Vehicles,GP336410-1,12/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,DC - Direct Contracting,Tata Africa Holdings,Ghana,13/09/2011,735000.0
Supply of all terrain vehicles,GP324664-1,11/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,DC - Direct Contracting,Unit Export LTD,United Kingdom,14/06/2011,271650.0
Supply of Vehicle Communication Sets,GP324473-1,11/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,Danimex Communications A/S,Denmark,30/05/2011,1182473.0
Supply of Handheld Radios,GP323365-1,11/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Telecommunications,O - Other,Danimex Communications A/S,Denmark,30/05/2011,586164.0
Supply of Armoured Vehicles,GP600015-1,11/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,APV - Armoured Project Vehicles,United Kingdom,28/12/2011,277977.0
Supply of vehicle spare parts,GP600013-1,11/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,RMA Automotive Corporation LTD,Thailand,29/12/2011,174534.0
Supply of radios,GP600012-1,11/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Telecommunications,O - Other,Danimex Communications A/S,Denmark,20/12/2011,224689.0
Supply of Armoured Vehicles,GP600009-1,10/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,APV - Armoured Project Vehicles,United Kingdom,,248643.0
Supply of Armoured Vehicles,GP600007-1,10/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,APV - Armoured Project Vehicles,United Kingdom,13/12/2011,367887.0
Supply of Vehicles,GP600005-1,10/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,Golden Arrow CO LTD,Sudan,26/12/2011,738400.0
Supply of vehicles,GP340198-1,10/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,TGS - Toyota Gibraltar Stockholdings LTD,United Kingdom,01/11/2011,1099300.0
Supply of IT Equipment,GP339397-2,10/01/2012,"UNDP PSO CPR, Copenhague",Denmark,It / Computers,O - Other,Dan:Office Company,Denmark,09/11/2011,115418.0
Supply of vehicles,GP339297-1,10/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,TGS - Toyota Gibraltar Stockholdings LTD,United Kingdom,07/12/2011,524070.0
Supply of Armoured Vehicles,GP336147-1,09/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,APV - Armoured Project Vehicles,United Kingdom,17/11/2011,127063.0
Supply of Armoured Vehicles,GP321846-1,09/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,O - Other,APV - Armoured Project Vehicles,United Kingdom,22/09/2011,156031.0
Supply of Solar Water Pumps,GP326754-2,09/01/2012,"UNDP PSO CPR, Copenhague",Denmark,"Water Supply
(potable)",ITB - Invitation to Bid,Phaesun GmbH,Germany,,965510.0
Supply of Vehicles,GP309761-2,09/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Vehicles,DC - Direct Contracting,UNOPS,Denmark,12/01/2011,7205423.0
Supply of Ballistic Vests,GP309761-5,09/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Other,O - Other,Verseidag Ballistic Protection Oy,Finland,24/05/2011,2296088.0
Solar Powered Equipment,GP326754-1,09/01/2012,"UNDP PSO CPR, Copenhague",Denmark,Power,ITB - Invitation to Bid,Alternate Energy Systems,Pakistan,,220702.0
Provision of Maintenance Services to UNDP,RFP-BOM-OFA-ASD-11-004,05/01/2012,NEW YORK,United States Of America,Other,RFP - Request for Proposal,PRITCHARD INDUSTRIES INC.,United States Of America,04/01/2012,1730925.0
PROVISION OF CLEANING SERVICES,RFP-BOM-OFA-ASD-11-003,04/01/2012,NEW YORK,United States Of America,Other,RFP - Request for Proposal,PRITCHARD INDUSTRIES INC,United States Of America,31/12/2011,1634707.0
